index,country,country_code,name,name_en,is_eu,city_code,lat,lon,pop_in_k,size
1,Albania,8,Tiranë,Tirana,,20005,41.3275,19.8189,476,4.95
2,Andorra,20,Andorra la Vella,Andorra la Vella,,20048,42.5078,1.5211,23,4.04
3,Austria,40,Wien,Vienna,1,20107,48.2064,16.3707,1901,7.8
4,Belarus,112,Minsk,Minsk,,20348,53.9,27.5667,2005,8
5,Belgium,56,Bruxelles,Brussel,1,20144,50.8467,4.3499,2050,8.09
6,Bosnia and Herzegovina,70,Sarajevo,Sarajevo,,20164,43.8486,18.3564,343,4.68
7,Bulgaria,100,Sofia,Sofia,1,20327,42.6975,23.3242,1272,6.54
8,Channel Islands,830,St. Helier,St. Helier,,22891,49.188,-2.1049,34,4.07
9,Channel Islands,830,St. Peter Port,St. Peter Port,,205428,49.4598,-2.5353,16,4.03
10,Croatia,191,Zagreb,Zagreb,1,20865,45.8144,15.978,686,5.37
11,Cyprus,196,Lefkosia,Nicosia,1,20880,35.1595,33.3669,269,4.54
12,Czechia,203,Praha,Prague,1,20887,50.088,14.4208,1292,6.58
13,Denmark,208,København,Copenhagen,1,20894,55.6759,12.5655,1321,6.64
14,Estonia,233,Tallinn,Tallinn,1,20932,59.437,24.7535,437,4.87
15,Faeroe Islands,234,Tórshavn,Tórshavn,,20934,62.0097,-6.7716,21,4.04
16,Finland,246,Helsinki,Helsinki,1,20937,60.1692,24.9402,1279,6.56
17,France,250,Paris,Paris,1,20985,48.8534,2.3488,10901,25.80
18,Germany,276,Berlin,Berlin,1,204296,52.5244,13.4105,3552,11.10
19,Gibraltar,292,Gibraltar,Gibraltar,,21111,36.1447,-5.3526,35,4.07
20,Greece,300,Athínai,Athens,1,21113,37.9534,23.749,3156,10.31
21,Holy See,336,Vatican City,Vatican City,,21134,41.9024,12.4533,1,4
22,Hungary,348,Budapest,Busapest,1,21138,47.498,19.0399,1759,7.52
23,Iceland,352,Reykjavík,Reykjavik,1,21147,64.1355,-21.8954,216,4.43
24,Ireland,372,Dublin,Dublin,1,21542,53.3331,-6.2489,1201,6.40
25,Isle of Man,833,Douglas,Douglas,,22892,54.15,-4.4833,27,4.05
26,Italy,380,Roma,Rome,1,21588,41.8947,12.4811,4210,12.42
27,Latvia,428,Riga,Riga,1,21778,56.946,24.1059,637,5.27
28,Liechtenstein,438,Vaduz,Vaduz,,21783,47.1415,9.5215,5,4.01
29,Lithuania,440,Vilnius,Vilnjus,1,21789,54.6892,25.2798,536,5.07
30,Luxembourg,442,Luxembourg,Luxembourg,1,21790,49.6117,6.13,120,4.24
31,Malta,470,Valletta,Valletta,1,21819,35.8997,14.5147,213,4.42
32,Monaco,492,Monaco,Monaco,,21881,43.7333,7.4167,39,4.08
33,Montenegro,499,Podgorica,Podgorica,,23256,42.4411,19.2636,177,4.35
34,Netherlands,528,Amsterdam,Amsterdam,1,21930,52.374,4.8897,1132,6.26
35,Norway,578,Oslo,Oslo,,22028,59.9127,10.7461,1012,6.02
36,Poland,616,Warszawa,Warsaw,1,22161,52.2298,21.0118,1768,7.53
37,Portugal,620,Lisboa,Lisbon,1,22167,38.7169,-9.1399,2927,9.85
38,Republic of Moldova,498,Chişinău,Chişinău,,21885,47.0056,28.8575,510,5.02
39,Romania,642,Bucuresti,Bucharest,1,22191,44.4328,26.1043,1821,7.64
40,Russian Federation,643,Moskva,Moscow,,22299,55.755,37.6218,12410,28.82
41,San Marino,674,San Marino,San Marino,,22411,43.9333,12.45,4,4.01
42,Serbia,688,Beograd,Belgrade,,23241,44.8176,20.4633,1389,6.78
43,Slovakia,703,Bratislava,Bratislava,1,22448,48.1482,17.1067,430,4.86
44,Slovenia,705,Ljubljana,Ljubljana,1,22474,46.0511,14.5051,286,4.57
45,Spain,724,Madrid,Madrid,1,22549,40.4165,-3.7026,6497,16.99
46,Sweden,752,Stockholm,Stockholm,1,22597,59.3326,18.0649,1583,7.16
47,Switzerland,756,Bern,Bern,,22601,46.9481,7.4474,422,4.84
48,TFYR Macedonia,807,Skopje,Skopje,,22802,42,21.4333,584,5.17
49,Turkey,792,Ankara,Ankara,,22656,39.9199,32.8543,4919,13.84
50,Ukraine,804,Kyiv,Kiev,,22765,50.4454,30.5186,2957,9.91
51,United Kingdom,826,London,London,1,22860,51.5085,-0.1257,9046,22.09